id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
38045,white,31,married,2,school,10,True,None,2,1,baptist,True,full-time,82,165,15000
41717,black,36,never married,0,college,3,False,None,0,None,protestant,True,part-time,67,160,7500
35376,white,23,informal relationship,2,school,12,True,None,2,None,None,True,part-time,68,175,15000
34886,black,15,never married,0,school,9,True,None,0,None,baptist,False,None,85,165,None
36112,white,30,never married,0,school,11,True,None,2,None,baptist,True,full-time,52,157,20000
33970,white,35,married,2,school,12,True,None,2,1,baptist,True,full-time,86,170,35000
34262,white,27,married,2,college,2,False,None,3,1,protestant,True,full-time,73,152,12500
36970,black,43,never married,1,college,4,True,Bachelor,0,None,protestant,True,full-time,125,173,15000
34670,black,35,divorced,1,college,4,True,Associate,3,1,protestant,True,both,100,165,25000
35299,white,31,separated,1,school,11,False,None,5,1,baptist,True,None,47,157,10000
39027,white,42,married,2,college,2,True,Associate,2,1,baptist,True,full-time,76,157,50000
34291,white,35,informal relationship,2,school,12,True,None,4,2,baptist,True,full-time,57,168,12500
40267,white,42,married,0,school,12,True,None,2,2,baptist,True,full-time,89,157,15000
36507,white,20,informal relationship,2,school,11,True,None,1,None,baptist,True,full-time,73,178,12500
39598,hispanic,26,married,0,school,9,True,None,2,1,catholic,True,both,73,170,15000
36262,white,25,never married,1,school,12,True,None,1,None,baptist,False,part-time,76,170,15000
37376,white,43,informal relationship,0,school,9,False,None,3,1,baptist,True,None,91,160,10000
34798,white,34,married,0,college,3,True,None,0,1,baptist,True,full-time,75,160,35000
37323,white,34,married,2,college,2,True,Associate,4,2,None,True,full-time,59,163,25000
38150,black,39,never married,3,school,12,True,None,4,None,baptist,False,None,125,163,None
39457,black,31,divorced,1,school,12,True,None,3,1,baptist,True,both,122,170,7500
42454,black,28,never married,3,school,12,True,None,4,None,protestant,True,part-time,54,163,5000
36919,black,27,never married,2,school,12,True,None,2,None,None,True,full-time,96,168,12500
36198,black,29,never married,1,school,12,True,None,1,None,baptist,True,full-time,82,163,50000
39107,hispanic,15,never married,0,school,9,False,None,0,None,catholic,False,None,68,152,None
37122,black,23,never married,4,college,1,False,None,4,None,baptist,True,part-time,57,152,5000
40021,black,44,separated,2,college,7,True,Master,5,3,None,True,full-time,92,170,35000
